Temperature,Pressure,Data
-0.833333,211.498,867.06
-0.833333,218.788,870.216
-0.833333,226.077,873.621
-0.833333,233.367,877.201
-0.833333,240.656,880.797
-0.833333,247.946,884.213
-0.833333,255.235,887.287
-0.833333,262.525,889.923
-0.833333,269.815,892.088
-0.833333,277.104,893.795
-0.833333,284.394,895.08
-0.833333,291.683,895.99
-0.833333,298.973,896.572
-0.833333,306.263,896.87
-0.833333,313.552,896.926
-0.833333,320.842,896.774
-0.833333,328.131,896.444
-0.833333,335.421,895.963
-0.833333,342.71,492.081
-0.833333,350.0,487.758
1.45833,0.1,648.047
1.45833,1.01325,658.678
1.45833,7.38958,671.402
1.45833,14.6792,686.223
1.45833,21.9688,702.73
1.45833,29.2583,719.937
1.45833,36.5479,736.627
1.45833,43.8375,751.906
1.45833,51.1271,765.372
1.45833,58.4167,776.986
1.45833,65.7063,786.906
1.45833,72.9958,795.368
1.45833,80.2854,796.553
1.45833,87.575,802.606
1.45833,94.8646,808.831
1.45833,102.154,814.224
1.45833,109.444,818.948
1.45833,116.733,823.14
1.45833,124.023,826.922
1.45833,131.313,830.395
1.45833,138.602,833.647
1.45833,145.892,836.75
1.45833,153.181,839.763
1.45833,160.471,842.724
1.45833,167.76,845.653
1.45833,175.05,848.559
1.45833,182.34,851.45
1.45833,189.629,854.347
1.45833,196.919,857.292
1.45833,204.208,860.349
1.45833,211.498,863.584
1.45833,218.788,867.038
1.45833,226.077,870.684
1.45833,233.367,874.409
1.45833,240.656,878.04
1.45833,247.946,881.405
1.45833,255.235,884.377
1.45833,262.525,886.897
1.45833,269.815,888.956
1.45833,277.104,890.576
1.45833,284.394,891.798
1.45833,291.683,892.666
1.45833,298.973,893.227
1.45833,306.263,893.52
1.45833,313.552,893.583
1.45833,320.842,893.449
1.45833,328.131,893.144
1.45833,335.421,892.693
1.45833,342.71,496.63
1.45833,350.0,492.531
3.75,0.1,630.294
3.75,1.01325,640.338
3.75,7.38958,652.607
3.75,14.6792,667.337
3.75,21.9688,684.337
3.75,29.2583,702.644
3.75,36.5479,720.813
3.75,43.8375,737.659
3.75,51.1271,752.587
3.75,58.4167,765.479
3.75,65.7063,776.491
3.75,72.9958,785.882
3.75,80.2854,787.196
3.75,87.575,793.918
3.75,94.8646,800.839
3.75,102.154,806.855
3.75,109.444,812.147
3.75,116.733,816.869
3.75,124.023,821.15
3.75,131.313,825.099
3.75,138.602,828.808
3.75,145.892,832.347
3.75,153.181,835.77
3.75,160.471,839.108
3.75,167.76,842.38
3.75,175.05,845.602
3.75,182.34,848.799
3.75,189.629,852.013
3.75,196.919,855.306
3.75,204.208,858.742
3.75,211.498,862.364
3.75,218.788,866.152
3.75,226.077,870.008
3.75,233.367,873.773
3.75,240.656,877.283
3.75,247.946,880.413
3.75,255.235,883.1
3.75,262.525,885.328
3.75,269.815,887.118
3.75,277.104,888.504
3.75,284.394,889.532
3.75,291.683,890.243
3.75,298.973,890.679
3.75,306.263,890.877
3.75,313.552,890.868
3.75,320.842,890.682
3.75,328.131,890.342
3.75,335.421,504.688
3.75,342.71,500.864
3.75,350.0,496.958
6.04167,0.1,616.804
6.04167,1.01325,627.203
6.04167,7.38958,640.03
6.04167,14.6792,655.663
6.04167,21.9688,673.885
